date,GOLD
2014-12-31,1183.9000244140625
2015-01-31,1278.5
2015-02-28,1212.5999755859375
2015-03-31,1183.0999755859375
2015-04-30,1182.4000244140625
2015-05-31,1189.4000244140625
2015-06-30,1171.5
2015-07-31,1094.9000244140625
2015-08-31,1131.5999755859375
2015-09-30,1115.5
2015-10-31,1141.5
2015-11-30,1065.800048828125
2015-12-31,1060.300048828125
2016-01-31,1116.4000244140625
2016-02-29,1233.9000244140625
2016-03-31,1234.199951171875
2016-04-30,1289.199951171875
2016-05-31,1214.800048828125
2016-06-30,1318.4000244140625
2016-07-31,1349.0
2016-08-31,1306.9000244140625
2016-09-30,1313.300048828125
2016-10-31,1271.5
2016-11-30,1170.800048828125
2016-12-31,1150.0
2017-01-31,1208.5999755859375
2017-02-28,1252.5999755859375
2017-03-31,1247.300048828125
2017-04-30,1266.0999755859375
2017-05-31,1272.0
2017-06-30,1240.699951171875
2017-07-31,1266.5999755859375
2017-08-31,1316.199951171875
2017-09-30,1281.5
2017-10-31,1267.0
2017-11-30,1273.199951171875
2017-12-31,1306.300048828125
2018-01-31,1339.0
2018-02-28,1315.5
2018-03-31,1322.800048828125
2018-04-30,1316.199951171875
2018-05-31,1300.0999755859375
2018-06-30,1251.300048828125
2018-07-31,1223.699951171875
2018-08-31,1200.300048828125
2018-09-30,1191.5
2018-10-31,1212.300048828125
2018-11-30,1220.199951171875
2018-12-31,1278.300048828125
2019-01-31,1319.699951171875
2019-02-28,1312.800048828125
2019-03-31,1293.0
2019-04-30,1282.800048828125
2019-05-31,1305.800048828125
2019-06-30,1409.699951171875
2019-07-31,1426.0999755859375
2019-08-31,1519.0999755859375
2019-09-30,1465.699951171875
2019-10-31,1511.4000244140625
2019-11-30,1465.5999755859375
2019-12-31,1519.5
2020-01-31,1582.9000244140625
2020-02-29,1564.0999755859375
2020-03-31,1583.4000244140625
2020-04-30,1684.199951171875
2020-05-31,1736.9000244140625
2020-06-30,1793.0
2020-07-31,1962.800048828125
2020-08-31,1967.5999755859375
2020-09-30,1887.5
2020-10-31,1877.4000244140625
2020-11-30,1775.699951171875
2020-12-31,1893.0999755859375
2021-01-31,1847.300048828125
2021-02-28,1728.0999755859375
2021-03-31,1713.800048828125
2021-04-30,1767.300048828125
2021-05-31,1902.5
2021-06-30,1770.800048828125
2021-07-31,1812.5999755859375
2021-08-31,1815.0
2021-09-30,1755.300048828125
2021-10-31,1783.0
2021-11-30,1773.5999755859375
2021-12-31,1827.5
2022-01-31,1795.0
2022-02-28,1899.4000244140625
2022-03-31,1949.199951171875
2022-04-30,1909.300048828125
2022-05-31,1842.699951171875
2022-06-30,1804.0999755859375
2022-07-31,1762.9000244140625
2022-08-31,1712.800048828125
2022-09-30,1662.4000244140625
2022-10-31,1635.9000244140625
2022-11-30,1746.0
2022-12-31,1819.699951171875
2023-01-31,1929.5
2023-02-28,1828.9000244140625
2023-03-31,1969.0
2023-04-30,1990.0999755859375
2023-05-31,1963.9000244140625
2023-06-30,1921.0999755859375
2023-07-31,1970.5
2023-08-31,1938.199951171875
2023-09-30,1848.0999755859375
2023-10-31,1985.199951171875
2023-11-30,2038.0999755859375
2023-12-31,2062.39990234375
2024-01-31,2048.39990234375
2024-02-29,2045.699951171875
2024-03-31,2217.39990234375
2024-04-30,2291.39990234375
2024-05-31,2322.89990234375
2024-06-30,2327.699951171875
2024-07-31,2426.5
2024-08-31,2493.800048828125
2024-09-30,2636.10009765625
2024-10-31,2738.300048828125
2024-11-30,2657.0
2024-12-31,2629.199951171875
2025-01-31,2812.5
2025-02-28,2836.800048828125
2025-03-31,3122.800048828125
2025-04-30,3305.0
2025-05-31,3288.89990234375
2025-06-30,3294.39990234375
2025-07-31,3293.199951171875
2025-08-31,3473.699951171875
2025-09-30,3840.800048828125
2025-10-31,3982.199951171875
2025-11-30,4218.2998046875
2025-12-31,4325.60009765625
2026-01-31,4713.89990234375
2026-02-28,5230.5
2026-03-31,4647.60009765625
2026-04-30,4614.7001953125
2026-05-31,4560.5
2026-06-30,4039.10009765625
